series_id,timestamp,ground_truth,prediction
0,2023-01-01 08:00:00,1.8344283,0.24561371
0,2023-01-01 08:00:00,1.7959379,0.23381206
0,2023-01-01 08:00:00,1.6936358,0.27473694
0,2023-01-01 09:00:00,0.880924,0.19467649
0,2023-01-01 09:00:00,1.1433357,0.23214202
0,2023-01-01 09:00:00,0.847717,0.22712822
2,2023-01-01 08:00:00,1.7959379,0.24969096
2,2023-01-01 08:00:00,1.6936358,0.23898834
2,2023-01-01 09:00:00,0.880924,0.27457404
2,2023-01-01 09:00:00,1.1433357,0.19864945
2,2023-01-01 09:00:00,0.847717,0.23598082
2,2023-01-01 10:00:00,0.15001549,0.22783598
1,2023-01-01 08:00:00,1.6936358,0.25222698
1,2023-01-01 09:00:00,0.880924,0.23732603
1,2023-01-01 09:00:00,1.1433357,0.27700388
1,2023-01-01 09:00:00,0.847717,0.20052359
1,2023-01-01 10:00:00,0.15001549,0.23233932
1,2023-01-01 10:00:00,0.66999924,0.23062883
0,2023-01-01 09:00:00,0.880924,0.25117263
0,2023-01-01 09:00:00,1.1433357,0.24169515
0,2023-01-01 09:00:00,0.847717,0.28088146
0,2023-01-01 10:00:00,0.15001549,0.19985104
0,2023-01-01 10:00:00,0.66999924,0.2357672
0,2023-01-01 10:00:00,0.022810414,0.2348495
2,2023-01-01 09:00:00,1.1433357,0.25178236
2,2023-01-01 09:00:00,0.847717,0.242884
2,2023-01-01 10:00:00,0.15001549,0.27694428
2,2023-01-01 10:00:00,0.66999924,0.20056522
2,2023-01-01 10:00:00,0.022810414,0.23638123
2,2023-01-01 11:00:00,0.29889205,0.23171896
1,2023-01-01 09:00:00,0.847717,0.252977
1,2023-01-01 10:00:00,0.15001549,0.23977736
1,2023-01-01 10:00:00,0.66999924,0.27807647
1,2023-01-01 10:00:00,0.022810414,0.20135057
1,2023-01-01 11:00:00,0.29889205,0.23149231
1,2023-01-01 11:00:00,0.12938419,0.23305531
0,2023-01-01 10:00:00,0.15001549,0.2459116
0,2023-01-01 10:00:00,0.66999924,0.2367388
0,2023-01-01 10:00:00,0.022810414,0.27515677
0,2023-01-01 11:00:00,0.29889205,0.19498004
0,2023-01-01 11:00:00,0.12938419,0.22907135
0,2023-01-01 11:00:00,0.6939579,0.23026378
2,2023-01-01 10:00:00,0.66999924,0.24427989
2,2023-01-01 10:00:00,0.022810414,0.23531955
2,2023-01-01 11:00:00,0.29889205,0.2689904
2,2023-01-01 11:00:00,0.12938419,0.19365329
2,2023-01-01 11:00:00,0.6939579,0.22776754
2,2023-01-01 12:00:00,0.643502,0.22457445
1,2023-01-01 10:00:00,0.022810414,0.24184062
1,2023-01-01 11:00:00,0.29889205,0.22786167
1,2023-01-01 11:00:00,0.12938419,0.26599562
1,2023-01-01 11:00:00,0.6939579,0.1911001
1,2023-01-01 12:00:00,0.643502,0.21928059
1,2023-01-01 12:00:00,0.7725265,0.22183728
0,2023-01-01 11:00:00,0.29889205,0.2351279
0,2023-01-01 11:00:00,0.12938419,0.22579326
0,2023-01-01 11:00:00,0.6939579,0.26370704
0,2023-01-01 12:00:00,0.643502,0.18519215
0,2023-01-01 12:00:00,0.7725265,0.21775065
0,2023-01-01 12:00:00,0.7273655,0.2196343
2,2023-01-01 11:00:00,0.12938419,0.23249719
2,2023-01-01 11:00:00,0.6939579,0.22265917
2,2023-01-01 12:00:00,0.643502,0.2562825
2,2023-01-01 12:00:00,0.7725265,0.18291956
2,2023-01-01 12:00:00,0.7273655,0.2149831
2,2023-01-01 13:00:00,0.7613874,0.2127876
1,2023-01-01 11:00:00,0.6939579,0.23010302
1,2023-01-01 12:00:00,0.643502,0.21578953
1,2023-01-01 12:00:00,0.7725265,0.253564
1,2023-01-01 12:00:00,0.7273655,0.18055467
1,2023-01-01 13:00:00,0.7613874,0.20717363
1,2023-01-01 13:00:00,0.87949526,0.21036917
